original order	sortedorder	FAM/HEX	Site	Ecozone	Lat	Long	species	sample
1	211	0.004282738359619	Dodowa	Decideous Forest	5.89816	-0.1012	S	Dod11
2	212	2.8120850443259	Dodowa	Decideous Forest	5.89816	-0.1012	S	Dod15
3	213	2.70522496709645	Dodowa	Decideous Forest	5.89816	-0.1012	S	Dod16
4	214	0.011718212661953	Dodowa	Decideous Forest	5.89816	-0.1012	S	Dod18
5	207	0.903570978297455	Dodowa	Decideous Forest	5.89816	-0.1012	S	Dod2
6	208	0.008352864228484	Dodowa	Decideous Forest	5.89816	-0.1012	S	Dod7
7	209	0.910586216087548	Dodowa	Decideous Forest	5.89816	-0.1012	S	Dod8
8	210	0.781442325917845	Dodowa	Decideous Forest	5.89816	-0.1012	S	Dod9
9	68	0.719037603741451	Dzorwulu	Coastal Savannah	5.60499	-0.20592	M	Dzo10
10	219	0.583460709261177	Dzorwulu	Coastal Savannah	5.60499	-0.20592	S	Dzo11
11	220	0.733027120025775	Dzorwulu	Coastal Savannah	5.60499	-0.20592	S	Dzo12
12	221	0.871190583964821	Dzorwulu	Coastal Savannah	5.60499	-0.20592	S	Dzo13
13	69	0.028618732846455	Dzorwulu	Coastal Savannah	5.60499	-0.20592	M	Dzo14
14	222	1.67021818154394	Dzorwulu	Coastal Savannah	5.60499	-0.20592	S	Dzo15
15	70	0.221002182342098	Dzorwulu	Coastal Savannah	5.60499	-0.20592	M	Dzo16
16	215	3.50729158543243	Dzorwulu	Coastal Savannah	5.60499	-0.20592	S	Dzo1
17	64	0.890328759097772	Dzorwulu	Coastal Savannah	5.60499	-0.20592	M	Dzo2
18	216	0.821455970003586	Dzorwulu	Coastal Savannah	5.60499	-0.20592	M	Dzo3
19	65	0.020618556701031	Dzorwulu	Coastal Savannah	5.60499	-0.20592	M	Dzo4
20	217	2.66564527406285	Dzorwulu	Coastal Savannah	5.60499	-0.20592	S	Dzo6
21	66	1.77063448953726	Dzorwulu	Coastal Savannah	5.60499	-0.20592	M	Dzo7
22	67	0.417205530963707	Dzorwulu	Coastal Savannah	5.60499	-0.20592	M	Dzo8
23	218	0.809025348804497	Dzorwulu	Coastal Savannah	5.60499	-0.20592	S	Dzo9
24	225	0.01714577964114	Enchi	Rainforest	5.8232	-2.822917	S	Enc10
25	74	0.01339598346398	Enchi	Rainforest	5.8232	-2.822917	M	Enc12
26	226	0.536099928289112	Enchi	Rainforest	5.8232	-2.822917	S	Enc14
27	227	0.01824019737576	Enchi	Rainforest	5.8232	-2.822917	S	Enc16
28	75	0.067466487753354	Enchi	Rainforest	5.8232	-2.822917	M	Enc17
29	228	0.081368503756465	Enchi	Rainforest	5.8232	-2.822917	S	Enc18
30	76	0.021205937266822	Enchi	Rainforest	5.8232	-2.822917	M	Enc19
31	77	0.049833188991327	Enchi	Rainforest	5.8232	-2.822917	M	Enc20
32	78	0.059421401824947	Enchi	Rainforest	5.8232	-2.822917	M	Enc21
33	79	0.091529109043178	Enchi	Rainforest	5.8232	-2.822917	M	Enc22
34	223	0.017781745969488	Enchi	Rainforest	5.8232	-2.822917	S	Enc2
35	71	0.01054272827899	Enchi	Rainforest	5.8232	-2.822917	M	Enc3
36	224	0.017723999998558	Enchi	Rainforest	5.8232	-2.822917	S	Enc4
37	72	0.011154759869944	Enchi	Rainforest	5.8232	-2.822917	M	Enc7
38	73	0.014756750475952	Enchi	Rainforest	5.8232	-2.822917	M	Enc9
39	229	0.01003914517428	Half-Assini	Coastal Savannah	5.05133	-2.88328	S	HA2
40	230	0.02092500818942	Half-Assini	Coastal Savannah	5.05133	-2.88328	S	HA4
41	231	0.012098071310146	Half-Assini	Coastal Savannah	5.05133	-2.88328	S	HA5
42	232	0.013221420103567	Half-Assini	Coastal Savannah	5.05133	-2.88328	S	HA6
43	233	0.012682984695391	Half-Assini	Coastal Savannah	5.05133	-2.88328	S	HA7
44	234	0.045410468879672	Half-Assini	Coastal Savannah	5.05133	-2.88328	S	HA9
45	235	0.005309031285302	Koforidua	Decideous Forest	6.15469	-0.27029	S	Kof10
46	236	0.011843405940871	Koforidua	Decideous Forest	6.15469	-0.27029	S	Kof12
47	237	0.768984180698821	Koforidua	Decideous Forest	6.15469	-0.27029	S	Kof16
48	238	0.798173125527476	Koforidua	Decideous Forest	6.15469	-0.27029	S	Kof18
49	239	0.870878432821359	Koforidua	Decideous Forest	6.15469	-0.27029	S	Kof19
50	240	0.005095672675877	Koforidua	Decideous Forest	6.15469	-0.27029	S	Kof20
51	241	0.010615947453166	Koforidua	Decideous Forest	6.15469	-0.27029	S	Kof21
52	242	0.968612565654732	Koforidua	Decideous Forest	6.15469	-0.27029	S	Kof23
53	92	0.933331971288086	Mamprobi	Coastal Savannah	5.541	-0.2377	M	Mam10
54	93	0.559254662712669	Mamprobi	Coastal Savannah	5.541	-0.2377	M	Mam15
55	94	0.341846646726965	Mamprobi	Coastal Savannah	5.541	-0.2377	M	Mam16
56	88	0.427840748601296	Mamprobi	Coastal Savannah	5.541	-0.2377	M	Mam2
57	89	0.483450858587272	Mamprobi	Coastal Savannah	5.541	-0.2377	M	Mam4
58	90	0.361869882947691	Mamprobi	Coastal Savannah	5.541	-0.2377	M	Mam6
59	91	0.396108355988019	Mamprobi	Coastal Savannah	5.541	-0.2377	M	Mam9
60	100	0.015710579781244	Mankessim	Coastal Savannah	5.28066	-1.01755	M	Man10
61	101	0.012651486713726	Mankessim	Coastal Savannah	5.28066	-1.01755	M	Man12
62	95	0.011836693219754	Mankessim	Coastal Savannah	5.28066	-1.01755	M	Man4
63	96	0.011761115174733	Mankessim	Coastal Savannah	5.28066	-1.01755	M	Man5
64	97	0.014532751309243	Mankessim	Coastal Savannah	5.28066	-1.01755	M	Man6
65	98	0.696603314107612	Mankessim	Coastal Savannah	5.28066	-1.01755	M	Man7
66	99	0.015786061316224	Mankessim	Coastal Savannah	5.28066	-1.01755	M	Man9
67	271	0.012541926542538	Nkwanta	Rainforest	5.4156	-2.37107	S	Nkw1
68	272	0.012834096615928	Nkwanta	Rainforest	5.4156	-2.37107	S	Nkw2
69	273	0.01650425961252	Nkwanta	Rainforest	5.4156	-2.37107	S	Nkw3
70	274	0.025365025500139	Nkwanta	Rainforest	5.4156	-2.37107	S	Nkw4
71	275	0.01273102317829	Nkwanta	Rainforest	5.4156	-2.37107	S	Nkw5
72	276	0.012784009524522	Nkwanta	Rainforest	5.4156	-2.37107	S	Nkw6
73	277	0.012829198086192	Nkwanta	Rainforest	5.4156	-2.37107	S	Nkw7
74	278	0.014636714650887	Nkwanta	Rainforest	5.4156	-2.37107	S	Nkw8
75	284	0.014247693179933	Nsawan	Decideous Forest	5.81674	-0.3539	S	Nsa10
76	285	0.77584232586396	Nsawan	Decideous Forest	5.81674	-0.3539	S	Nsa11
77	286	0.862409293210605	Nsawan	Decideous Forest	5.81674	-0.3539	S	Nsa12
78	118	0.028992910915879	Nsawan	Decideous Forest	5.81674	-0.3539	M	Nsa13
79	119	0.417350366589271	Nsawan	Decideous Forest	5.81674	-0.3539	M	Nsa15
80	120	0.015244905014461	Nsawan	Decideous Forest	5.81674	-0.3539	M	Nsa16
81	121	1.69240990130469	Nsawan	Decideous Forest	5.81674	-0.3539	M	Nsa17
82	122	3.31524453084967	Nsawan	Decideous Forest	5.81674	-0.3539	M	Nsa18
83	115	0.014693950769087	Nsawan	Decideous Forest	5.81674	-0.3539	M	Nsa1
84	279	0.012914220615417	Nsawan	Decideous Forest	5.81674	-0.3539	S	Nsa2
85	116	0.012501891819678	Nsawan	Decideous Forest	5.81674	-0.3539	M	Nsa3
86	280	0.011250753323086	Nsawan	Decideous Forest	5.81674	-0.3539	S	Nsa4
87	281	0.716684133565857	Nsawan	Decideous Forest	5.81674	-0.3539	S	Nsa5
88	282	0.012594809448955	Nsawan	Decideous Forest	5.81674	-0.3539	S	Nsa6
89	117	0.015411869095901	Nsawan	Decideous Forest	5.81674	-0.3539	M	Nsa8
90	283	0.817343993660929	Nsawan	Decideous Forest	5.81674	-0.3539	S	Nsa9
91	4	0.324618806086617	Ada Foah	Mangrove swamp	5.8035	0.6641	M	AdF10
92	5	0.710305407383021	Ada Foah	Mangrove swamp	5.8035	0.6641	M	AdF11
93	6	3.2098502502869	Ada Foah	Mangrove swamp	5.8035	0.6641	M	AdF17
94	7	0.026614369014448	Ada Foah	Mangrove swamp	5.8035	0.6641	M	AdF19
95	1	0.471738955657783	Ada Foah	Mangrove swamp	5.8035	0.6641	M	AdF1
96	2	0.917585845202606	Ada Foah	Mangrove swamp	5.8035	0.6641	M	AdF3
97	3	0.967173322021771	Ada Foah	Mangrove swamp	5.8035	0.6641	M	AdF7
98	11	0.011720520891409	Assin Foso	Decideous Forest	5.6936	-1.2733	M	AF11
99	167	1	Assin Foso	Decideous Forest	5.6936	-1.2733	S	AF17
100	12	1	Assin Foso	Decideous Forest	5.6936	-1.2733	M	AF19
101	13	1	Assin Foso	Decideous Forest	5.6936	-1.2733	M	AF22
102	168	1	Assin Foso	Decideous Forest	5.6936	-1.2733	S	AF23
103	169	1	Assin Foso	Decideous Forest	5.6936	-1.2733	S	AF24
104	14	1	Assin Foso	Decideous Forest	5.6936	-1.2733	M	AF26
105	162	0.869652451463894	Assin Foso	Decideous Forest	5.6936	-1.2733	S	AF2
106	163	14.7089148606226	Assin Foso	Decideous Forest	5.6936	-1.2733	S	AF3
107	164	0.015585304187956	Assin Foso	Decideous Forest	5.6936	-1.2733	S	AF4
108	165	0.880840358817584	Assin Foso	Decideous Forest	5.6936	-1.2733	S	AF5
109	8	0.010992876478056	Assin Foso	Decideous Forest	5.6936	-1.2733	M	AF6
110	166	0.78005012018079	Assin Foso	Decideous Forest	5.6936	-1.2733	S	AF7
111	9	0.424301778965803	Assin Foso	Decideous Forest	5.6936	-1.2733	M	AF8
112	10	0.014639491911045	Assin Foso	Decideous Forest	5.6936	-1.2733	M	AF9
113	172	0.810487220197997	Agona Dunkwa	Decideous Forest	5.6338	-0.72805	S	AgD34
114	173	0.350590794849175	Agona Dunkwa	Decideous Forest	5.6338	-0.72805	S	AgD37
115	170	1.54824458058435	Agona Dunkwa	Decideous Forest	5.6338	-0.72805	S	AgD4
116	171	13.7382590913132	Agona Dunkwa	Decideous Forest	5.6338	-0.72805	S	AgD5
117	174	0.383374685442479	Akatsi	Coastal Savannah	6.13605	0.80506	S	Aka10
118	175	5.82940235687697	Akatsi	Coastal Savannah	6.13605	0.80506	S	Aka15
119	176	5.74052978485263	Akatsi	Coastal Savannah	6.13605	0.80506	S	Aka20
120	177	0.082059527928735	Akatsi	Coastal Savannah	6.13605	0.80506	S	Aka22
121	178	0.213332396314044	Akatsi	Coastal Savannah	6.13605	0.80506	S	Aka23
122	19	1.40541813063861	Anloga	Mangrove swamp	5.7863	0.86514	M	Anl11
123	20	1.5545752375386	Anloga	Mangrove swamp	5.7863	0.86514	M	Anl17
124	23	0.011082182020246	Asankrangwa	Rainforest	5.80269	-2.43342	M	Asa11
125	24	0.016594447704639	Asankrangwa	Rainforest	5.80269	-2.43342	M	Asa12
126	25	0.008898280738827	Asankrangwa	Rainforest	5.80269	-2.43342	M	Asa14
127	21	0.01498559794434	Asankrangwa	Rainforest	5.80269	-2.43342	M	Asa5
128	22	0.012433153769784	Asankrangwa	Rainforest	5.80269	-2.43342	M	Asa9
129	29	0.349879316829601	Ashaiman	Coastal Savannah	5.6953	-0.05237	M	Ash12
130	30	0.8073460096327	Ashaiman	Coastal Savannah	5.6953	-0.05237	M	Ash13
131	31	2.67702861735411	Ashaiman	Coastal Savannah	5.6953	-0.05237	M	Ash26
132	26	0.824969002896918	Ashaiman	Coastal Savannah	5.6953	-0.05237	M	Ash6
133	27	0.305277885176181	Ashaiman	Coastal Savannah	5.6953	-0.05237	M	Ash8
134	28	1.07370567301872	Ashaiman	Coastal Savannah	5.6953	-0.05237	M	Ash9
135	190	1.08533049660385	Asikumah	Decideous Forest	5.58017	-0.9961	S	Asi11
136	191	0.018349391970283	Asikumah	Decideous Forest	5.58017	-0.9961	M	Asi13
137	184	13.9682661250042	Asikumah	Decideous Forest	5.58017	-0.9961	S	Asi2
138	185	0.012768835456504	Asikumah	Decideous Forest	5.58017	-0.9961	S	Asi3
139	186	0.780988543486644	Asikumah	Decideous Forest	5.58017	-0.9961	S	Asi4
140	187	9.56896260478473	Asikumah	Decideous Forest	5.58017	-0.9961	S	Asi5
141	188	0.016592764710375	Asikumah	Decideous Forest	5.58017	-0.9961	S	Asi7
142	189	1.02842692235523	Asikumah	Decideous Forest	5.58017	-0.9961	S	Asi9
143	43	0.016372993254893	Axim	Rainforest	4.86384	-2.23924	M	Axi13
144	44	0.013626549909396	Axim	Rainforest	4.86384	-2.23924	M	Axi14
145	45	0.01794721537065	Axim	Rainforest	4.86384	-2.23924	M	Axi15
146	46	0.012507114528092	Axim	Rainforest	4.86384	-2.23924	M	Axi16
147	39	0.0155906200197	Axim	Rainforest	4.86384	-2.23924	M	Axi1
148	40	0.01502100252566	Axim	Rainforest	4.86384	-2.23924	M	Axi2
149	41	0.015885784612	Axim	Rainforest	4.86384	-2.23924	M	Axi3
150	42	0.049063850023376	Axim	Rainforest	4.86384	-2.23924	M	Axi4
151	54	0.020112405361952	Bogoso	Rainforest	5.56853	-2.0026	M	Bog10
152	55	0.016690791384045	Bogoso	Rainforest	5.56853	-2.0026	M	Bog11
153	202	1.90159958144249	Bogoso	Rainforest	5.56853	-2.0026	S	Bog12
154	203	2.78493874055858	Bogoso	Rainforest	5.56853	-2.0026	S	Bog13
155	56	0.070261872029867	Bogoso	Rainforest	5.56853	-2.0026	M	Bog14
156	204	1.02101673851064	Bogoso	Rainforest	5.56853	-2.0026	S	Bog15
157	57	0.017911090340277	Bogoso	Rainforest	5.56853	-2.0026	M	Bog16
158	58	0.009700373994643	Bogoso	Rainforest	5.56853	-2.0026	M	Bog18
159	51	0.012777472461829	Bogoso	Rainforest	5.56853	-2.0026	M	Bog1
160	205	0.007374523889981	Bogoso	Rainforest	5.56853	-2.0026	M	Bog23
161	206	3.82033358937781	Bogoso	Rainforest	5.56853	-2.0026	S	Bog25
162	52	0.018695969749151	Bogoso	Rainforest	5.56853	-2.0026	S	Bog2
163	199	0.038381322814741	Bogoso	Rainforest	5.56853	-2.0026	S	Bog5
164	200	1.23226629077307	Bogoso	Rainforest	5.56853	-2.0026	S	Bog6
165	201	0.008804830269846	Bogoso	Rainforest	5.56853	-2.0026	S	Bog8
166	53	0.077138353340609	Bogoso	Rainforest	5.56853	-2.0026	M	Bog9
167	290	115.830788045555	Obuasi	Deciduous forest	6.1986	-1.6569	S	OBP1-4
